,i,Fabr_Modelo,Descripcion,Kilometraje,Precio_caro,Precio_desc
0,1,Nissan QASHQAI,1.5 dCi N-CONNECTA,2016 | 138026km | 110CV | Manual,17.390€,15.590€
1,3,Peugeot 308,5p Allure 2.0 BlueHDi 110KW (150CV),2017 | 95352km | 150CV | Manual,17.990€,13.390€
2,5,Renault Captur,Intens Energy dCi 66kW (90CV) eco2,2018 | 51634km | 90CV | Manual,16.990€,13.590€
3,7,Citroën C3,BlueHDi 55KW (75CV) S&S LIVE,2017 | 122399km | 75CV | Manual,11.690€,8.990€
4,9,Audi A4,2.0 TDI clean d 150CV S line edition,2016 | 120792km | 150CV | Manual,19.890€,17.990€
5,11,Hyundai TUCSON,1.7 CRDi 85kW (115CV) BD Klass Nav 4x2,2017 | 48346km | 115CV | Manual,20.790€,16.490€
6,15,Citroën Grand C4 Picasso,BlueHDi 110KW (150CV) EAT6 Shine,2016 | 71012km | 150CV | Automático,20.290€,16.190€
7,17,Peugeot 2008,Style 1.6 BlueHDi 73KW (100CV),2017 | 59525km | 100CV | Manual,15.990€,11.990€
8,19,Renault Captur,S-Edition Energy TCe 110kW(150CV) EDC,2018 | 67369km | 150CV | Automático,18.190€,13.590€
9,21,BMW Serie 3,316d,2017 | 60602km | 116CV | Automático,22.590€,18.090€
10,23,BMW X1,sDrive16d Business,2017 | 70840km | 116CV | Manual,22.290€,17.890€
11,25,Mercedes Clase GLA,GLA 200 d,2019 | 37548km | 136CV | Automático,33.490€,29.590€
12,29,Renault Scénic,Intens Energy dCi 81kW (110CV),2017 | 127864km | 110CV | Manual,14.290€,11.190€
13,31,Renault Grand Scénic,Limited TCe 103kW (140CV) GPF,2019 | 73547km | 140CV | Manual,20.490€,15.490€
14,33,Peugeot 3008,GT Line BlueHDi 132kW (180CV) S&S EAT8,2018 | 88248km | 180CV | Automático,29.490€,23.890€
15,35,Audi A5,Cabrio 2.0 TDI clean diesel 190CV,2015 | 113542km | 190CV | Automático,25.990€,23.790€
16,37,Renault Grand Scénic,BOSE Energy dCi 110 eco2 7p Euro 6,2016 | 113527km | 110CV | Manual,15.990€,12.590€
17,39,Volvo V40,2.0 D2 Auto,2018 | 33040km | 120CV | Automático,21.990€,17.590€
18,41,Land Rover Discovery 4,3.0 SDV6 HSE 255cv,2015 | 130560km | 256CV | Automático,37.190€,34.490€
19,43,BMW Serie 1,118i,2021 | 13085km | 136CV | Automático,33.490€,29.590€
20,47,Audi A5,Sportback 2.0 TDI clean d 110kW Advanced,2016 | 83343km | 150CV | Manual,24.290€,22.190€
21,49,Opel Astra,1.4T SHT 107kW (145CV) Business Eleg CVT,2020 | 27706km | 145CV | Automático,24.290€,19.590€
22,51,Jeep Renegade,1.6 E-TORQ 81kW Sport FWD E6,2018 | 24860km | 110CV | Manual,17.490€,13.890€
23,53,Renault Grand Scénic,Zen Energy TCe 103 kW (140CV),2018 | 87792km | 140CV | Manual,19.690€,15.690€
24,55,Citroën C5 Aircross,PureTech 96kW (130CV) S&S Shine,2019 | 44521km | 131CV | Manual,27.190€,21.990€
25,57,Volkswagen Polo,Edition 1.4 TDI 55kW(75CV) BMT,2017 | 125012km | 75CV | Manual,10.990€,8.390€
26,61,Mazda CX-5,2.0 G 121kW (165CV) 2WD Evolution,2019 | 36783km | 165CV | Manual,25.190€,20.290€
27,63,Opel Adam,1.4 XER SLAM,2015 | 63356km | 100CV | Manual,11.190€,9.690€
28,65,Citroën C3,PureTech 60KW (82CV) FEEL,2019 | 24301km | 82CV | Manual,13.290€,10.290€
29,67,Audi A6,2.0 TDI 190CV ultra S tronic S line edit,2016 | 109591km | 190CV | Automático,24.990€,22.890€
30,71,Citroën C3,PureTech 81KW (110CV) S&S SHINE EAT6,2019 | 66285km | 110CV | Automático,16.790€,13.290€
31,73,Ford Focus,1.5 TDCi 70kW (95CV) Trend,2017 | 119217km | 95CV | Manual,11.490€,8.790€
32,75,SEAT Ateca,1.5 TSI 110kW (150CV) St&Sp Style,2018 | 21119km | 150CV | Manual,24.490€,18.690€
33,77,SEAT León,2.0 TSI 290cv DSG-6 St&Sp CUPRA,2016 | 53049km | 290CV | Automático,24.890€,22.790€
34,79,Citroën C4 Cactus,PureTech 60KW (82CV) Live,2017 | 68285km | 82CV | Manual,13.790€,10.690€
35,81,Renault Talisman,Zen Blue dCi 118 kW (160CV) EDC,2020 | 69880km | 160CV | Automático,25.190€,20.290€
36,83,Volkswagen Polo,Advance 1.0 TSI 70kW (95CV),2019 | 80356km | 95CV | Manual,16.690€,13.190€
37,85,Jeep Compass,1.4 Mair 103kW Longitude 4x2,2019 | 21853km | 140CV | Manual,23.490€,18.090€
38,87,Jaguar XE,2.0 AJ200D Diesel RWD 180cv Prestige,2016 | 34456km | 180CV | Manual,22.790€,19.790€
39,89,Audi A4,Advanced 35 TDI 120kW (163CV) S tronic,2020 | 7079km | 163CV | Automático,37.990€,30.190€
40,91,Fiat 500,Star 1.2 8v 51KW (69 CV),2019 | 36319km | 69CV | Manual,13.590€,10.590€
41,93,Renault Grand Scénic,Zen Blue dCi 110 kW (150CV) EDC,2019 | 55101km | 150CV | Automático,24.490€,19.690€
42,95,Ford Edge,2.0 TDCI 154kW ST-Line 4WD Pow,2018 | 90596km | 210CV | Automático,30.990€,25.190€
43,97,,,,,19.690€
44,99,Renault Trafic,Mixto 5/6 N1 En. dCi 92 kW(125 CV) TT E6,2017 | 148250km | 125CV | Manual,21.290€,16.990€
45,101,Kia Soul EV,Eléctrico (CHAdeMO),2017 | 73536km | 111CV | Automático,15.190€,11.890€
46,103,Renault Grand Scénic,Edition One dCi 118kW (160CV) EDC,2017 | 95008km | 160CV | Automático,20.990€,16.790€
47,105,MINI MINI,COOPER 5 PUERTAS,2018 | 19983km | 136CV | Automático,24.490€,19.690€
48,107,Renault Mégane,Business Energy dCi 66kW (90CV),2018 | 58792km | 90CV | Manual,14.990€,11.790€
49,109,Audi A4,2.0 TDI 110kW (150CV) S tronic ultra,2017 | 97478km | 150CV | Automático,25.990€,19.890€
50,111,Nissan Micra,1.5dCi 66 kW (90 CV) S&S Visia+,2018 | 67256km | 90CV | Manual,11.990€,9.190€
51,113,BMW Serie 1,116d,2018 | 57108km | 116CV | Automático,22.290€,18.190€
52,115,Audi A3,Sportback 30 TDI 85kW (116CV) S tronic,2019 | 30754km | 116CV | Automático,24.490€,19.690€
53,117,Ford Mondeo,2.0 Híbrido 137kW Auto Vignale Hev,2019 | 29135km | 187CV | Automático,25.490€,20.590€
54,119,Opel Corsa,1.3 CDTi Business 55kW (75CV),2018 | 69550km | 75CV | Manual,9.990€,7.590€
55,121,Volkswagen up!,Move up! 1.0 44kW (60CV),2018 | 73521km | 60CV | Manual,12.790€,9.890€
56,123,Nissan QASHQAI,1.6 dCi 4X4-i TEKNA ALCANTARA,2016 | 71284km | 130CV | Manual,19.690€,15.690€
57,125,Renault Scénic,Intens Energy dCi 81kW (110CV) EDC,2017 | 38051km | 110CV | Automático,18.990€,14.990€
58,127,Volkswagen Golf Sportsvan,Business 1.6 TDI BMT,2017 | 91218km | 115CV | Manual,14.190€,11.490€
59,129,Renault Kangoo Furgón,Profesional 2014 dCi 75 Gen5,2016 | 68622km | 75CV | Manual,10.990€,9.490€
60,131,Peugeot 3008,Active BlueHDi 96kW (130CV) S&S EAT8,2018 | 98859km | 130CV | Automático,20.990€,16.790€
61,133,BMW Serie 2 Gran Tourer,218i,2016 | 148621km | 136CV | Automático,19.990€,17.990€
62,135,Volkswagen Golf,Alltrack 2.0 TDI 135kW DSG Variant,2018 | 90479km | 184CV | Automático,22.390€,17.990€
63,137,Volkswagen Polo,Edition 1.4 TDI 55kW (75CV) BMT,2017 | 46295km | 75CV | Manual,11.790€,8.990€
64,139,Fiat 500,Lounge 1.2 8v 51KW (69 CV),2019 | 19995km | 69CV | Manual,12.990€,10.490€
65,141,Toyota C-HR,1.8 125H Active,2018 | 89445km | 122CV | Automático,21.190€,16.990€
66,143,Volkswagen Polo,Edition 1.4 TDI 55kW (75CV) BMT,2017 | 71069km | 75CV | Manual,11.390€,8.690€
67,145,BMW Serie 4,420i Gran Coupe,2017 | 115906km | 184CV | Automático,28.990€,23.490€
68,147,BMW Serie 2 Active Tourer,218d,2017 | 128582km | 150CV | Manual,19.590€,15.590€
69,149,Ford Kuga,1.5 EcoBoost 88kW A-S-S 4x2 Trend,2017 | 78782km | 120CV | Manual,17.890€,14.190€
70,151,Jaguar XE,2.0 AJ200D Diesel RWD 132kW XE-Pure,2016 | 147655km | 180CV | Manual,18.990€,16.990€
71,153,Ford Galaxy,2.0 TDCi 110kW Titanium PowerShift,2017 | 124486km | 150CV | Automático,22.990€,18.490€
72,155,Skoda Octavia,2.0 TSI 220cv RS,2015 | 121402km | 220CV | Manual,20.990€,18.890€
73,157,Peugeot 3008,1.6BLUEHDI 88KW (120CV) ACTIVE AUTO S&S,2018 | 134199km | 120CV | Manual,19.990€,15.990€
74,159,Fiat Panda,City Life Hybrid 1.0 Gse 51kw (70CV),2021 | 107km | 70CV | Manual,15.690€,12.290€
75,161,Volkswagen Tiguan,R-Line 2.0 TDI 110kW (150CV) DSG,2020 | 13082km | 150CV | Automático,40.490€,35.890€
76,163,Peugeot 3008,1.6BLUEHDI 88KW (120CV) ALLURE S&S,2017 | 129340km | 120CV | Manual,19.990€,15.990€
77,165,Volvo XC90,2.0 D5 AWD Inscription C Auto,2017 | 109997km | 235CV | Automático,41.190€,36.790€
78,167,Audi A5,Advanced 2.0 TFSI Coupé,2017 | 84574km | 190CV | Manual,25.990€,20.990€
79,169,Dacia Sandero,Stepway Comfort TCE 66kW (90CV),2019 | 11141km | 90CV | Manual,13.790€,10.690€
80,171,Ford Edge,2.0 TDCI 154kW Titanium 4WD Auto,2016 | 62518km | 210CV | Automático,28.890€,26.590€
81,173,Renault Mégane,Business Energy dCi 81kW (110CV),2018 | 120818km | 110CV | Manual,13.990€,10.890€
82,175,Renault Kangoo Furgón,Profesional Maxi 2p dCi 66 kW (90 CV),2019 | 138816km | 90CV | Manual,13.290€,10.290€
83,177,Peugeot 3008,1.5L BlueHDi 96kW (130CV) S&S Allure,2018 | 141746km | 130CV | Manual,20.490€,16.390€
84,185,Fiat Panda,City Life Hybrid 1.0 Gse 51kw (70CV),2021 | 75km | 70CV | Manual,15.690€,12.290€
85,187,Mitsubishi Space Star,120 MPI Kaiteki,2018 | 3410km | 80CV | Manual,11.490€,8.790€
86,189,Peugeot 308,SW Active 1.6 BlueHDi 73KW (100CV),2018 | 110638km | 100CV | Manual,13.390€,10.390€
87,191,Peugeot 3008,1.5L BlueHDi 96kW (130CV) S&S Allure,2018 | 128138km | 130CV | Manual,21.490€,17.190€
88,193,Peugeot 3008,1.6BLUEHDI 88KW (120CV) ACTIVE AUTO S&S,2018 | 142157km | 120CV | Automático,19.990€,15.990€
89,195,Citroën C4 Cactus,BlueHDi 100 ETG6 Feel Edition,2016 | 129674km | 100CV |,11.290€,9.790€
90,197,SsangYong Korando,D20T 149cv Premium 4x4,2015 | 59964km | 149CV | Manual,14.490€,12.790€
91,199,Kia Sportage,1.6 GDi 97kW (132CV) Business 4x2,2018 | 36042km | 132CV | Manual,19.990€,15.990€
92,201,Peugeot 308,SW Style 1.5 BlueHDi 96KW (130CV) EAT8,2018 | 154028km | 130CV | Automático,14.690€,11.490€
93,215,Volkswagen T-Roc,Sport 2.0 TDI 110kW (150CV) 4 Motion DSG,2018 | 70702km | 150CV | Automático,28.590€,23.190€
94,217,Kia Sportage,1.7 CRDi VGT Business 4x2 Eco-Dynamics,2017 | 30018km | 115CV | Manual,24.490€,19.690€
95,219,Audi A4,Avant 1.4 TFSI design edition,2017 | 66581km | 150CV | Manual,21.890€,17.490€
96,221,BMW Serie 2,220d,2015 | 65050km | 190CV | Automático,22.890€,21.190€
97,223,Volkswagen Polo,Advance 1.4 TDI 66kW(90CV) BMT,2016 | 142454km | 90CV | Manual,11.590€,8.890€
98,225,Renault Talisman,Zen Energy dCi 118kW (160CV) T. T. EDC,2018 | 79168km | 160CV | Automático,21.790€,17.490€
99,243,Opel Zafira Tourer,1.4 T GLP 103kW (140CV) Family,2018 | 65100km | 140CV | Manual,17.290€,13.690€
100,245,Hyundai i30,1.4 Klass,2015 | 85531km | 100CV | Manual,11.290€,9.490€
101,247,Opel Insignia,ST 1.6 CDTi 100kW ecoTEC D Business,2017 | 100803km | 136CV | Manual,15.590€,11.990€
102,249,Nissan QASHQAI,dCi 85 kW (115 CV) E6D ACENTA,2019 | 77125km | 115CV | Manual,20.290€,16.190€
103,273,BMW Serie 2 Active Tourer,218d Business,2018 | 41290km | 150CV |,21.690€,17.490€
